ResidualScore,Risk,TrueLabel,FinalAlarm
0.4534092,0.31593797,0,0
0.4103279,0.275561,0,0
0.6653372,0.5145627,0,0
0.83053434,0.66939,1,0
0.9549534,0.78599894,1,1
0.522414,0.38061118,0,0
0.26085275,0.13546878,0,0
0.46315414,0.3250712,0,0
0.51109046,0.36999843,0,0
0.6664558,0.5156111,0,0
0.744083,0.58836544,0,0
0.56174976,0.4174777,1,0
0.50747246,0.36660752,0,0
0.5923932,0.4461976,0,0
0.34559506,0.2148916,0,0
0.35414115,0.22290123,0,0
0.4459135,0.30891278,0,0
0.42962646,0.29364812,0,0
0.49155235,0.35168678,0,0
0.56478137,0.42031902,0,0
0.7132474,0.55946547,0,0
1.0533757,0.8782431,1,1
0.4349634,0.29865006,0,0
0.43181744,0.2957016,0,0
0.48981223,0.35005587,0,0
0.7200947,0.5658829,0,0
0.6716612,0.52048975,0,0
0.42384204,0.2882268,0,0
0.5980778,0.45152533,0,0
0.40557995,0.2711111,0,0
0.29338175,0.16595586,0,0
0.6191591,0.47128335,0,0
0.33696675,0.20680492,0,0
0.440032,0.3034005,0,0
1.0260174,0.8526021,1,1
0.69294107,0.5404338,0,0
0.6239743,0.4757963,0,0
0.69713867,0.5443679,1,0
0.541581,0.39857498,0,0
0.6141858,0.4666222,0,0
0.5231827,0.3813316,0,0
0.78222513,0.6241133,0,0
0.5312154,0.3888601,0,0
0.63409746,0.48528397,0,0
0.9632476,0.7937725,0,1
0.6651452,0.5143828,0,0
0.49686176,0.3566629,0,0
0.5526313,0.40893164,0,0
0.5982236,0.451662,0,0
0.4223711,0.2868482,0,0
0.63764584,0.4886096,0,0
0.42402926,0.2884023,0,0
0.6378511,0.48880202,0,0
0.51356554,0.37231815,0,0
0.20346098,0.08167965,0,0
0.4549144,0.31734866,0,0
0.95092297,0.78222156,0,1
1.1832876,1.0,0,1
0.248751,0.1241267,0,0
0.23787954,0.113937676,0,0
0.33714986,0.20697653,0,0
0.34097975,0.21056601,0,0
0.25156212,0.12676135,0,0
0.44230062,0.3055267,0,0
0.7642254,0.6072435,0,0
0.71885794,0.56472385,0,0
0.24107227,0.11692998,0,0
0.63471574,0.48586345,0,0
0.58214796,0.43659547,0,0
0.44853503,0.31136975,0,0
0.40476727,0.2703494,0,0
0.73122466,0.5763143,0,0
0.6151907,0.46756402,0,0
0.49514228,0.35505137,0,0
0.3794713,0.24664134,0,0
0.53410876,0.3915718,1,0
0.3994129,0.26533115,0,0
0.33806834,0.20783734,0,0
0.29273108,0.16534603,0,0
0.5172547,0.37577572,0,0
0.3381173,0.20788324,0,0
0.51116025,0.37006384,0,0
0.16324465,0.043987803,0,0
0.6864187,0.5343209,0,0
0.420364,0.2849671,0,0
0.40400752,0.26963738,0,0
0.50014174,0.35973698,1,0
0.54927814,0.40578896,0,0
0.2969684,0.16931736,0,0
0.26835915,0.14250399,0,0
0.4270656,0.29124802,0,0
0.63523465,0.4863498,0,0
0.4506258,0.3133293,0,0
0.45532933,0.31773755,0,0
0.33635113,0.20622793,0,0
0.5124015,0.37122717,0,0
0.49946547,0.35910317,0,0
0.3844274,0.25128633,0,0
0.31215805,0.18355352,0,0
0.47224993,0.33359602,0,0
0.38476053,0.25159854,0,0
0.5012518,0.36077738,0,0
1.0456288,0.8709824,0,1
0.9614668,0.79210347,1,1
0.5707823,0.42594326,0,0
0.808809,0.6490284,1,0
0.45150453,0.31415287,0,0
0.4613276,0.3233593,0,0
0.3539635,0.22273472,0,0
1.1178749,0.93869334,0,1
0.22763753,0.10433858,0,0
0.8378233,0.6762214,0,0
0.1628061,0.043576777,0,0
0.44535428,0.30838868,0,0
0.734221,0.5791225,0,0
1.0817459,0.90483236,1,1
0.2848817,0.15798938,0,0
0.88981473,0.72494924,0,1
0.5081874,0.36727762,0,0
0.6933857,0.5408506,1,0
0.62229556,0.47422293,0,0
0.50229454,0.36175466,1,0
0.42310387,0.28753498,0,0
0.7648648,0.60784274,0,0
0.67921793,0.52757215,0,0
0.6587718,0.50840944,0,0
0.4108821,0.2760804,0,0
0.6900381,0.53771305,0,0
0.36589774,0.23391983,0,0
0.5094067,0.36842033,0,0
0.9138921,0.7475152,0,1
0.9665968,0.7969115,1,1
0.294304,0.16682023,0,0
0.3227346,0.19346614,0,0
0.40274453,0.26845366,0,0
0.24964607,0.12496557,0,0
0.49987048,0.35948277,0,0
0.23148222,0.107941926,0,0
0.80397475,0.64449763,0,0
0.62226665,0.47419584,0,0
0.4993859,0.35902858,0,0
0.41945466,0.28411484,0,0
0.36093193,0.22926573,0,0
0.4518025,0.3144321,0,0
0.5957488,0.44934252,0,0
0.46832228,0.3299149,0,0
0.51414883,0.3728648,0,0
0.37738997,0.24469066,0,0
0.6635458,0.5128838,0,0
0.22572437,0.10254551,0,0
0.81465167,0.65450436,0,0
0.85660857,0.6938275,0,0
0.5267066,0.3846343,0,0
0.75466776,0.5982858,0,0
0.3557697,0.22442755,0,0
0.4514184,0.31407213,1,0
0.9771594,0.80681103,1,1
0.9562441,0.7872087,0,1
0.5208087,0.3791066,0,0
0.4398976,0.3032745,0,0
0.8020171,0.6426629,0,0
0.42216793,0.28665778,0,0
0.3290478,0.19938305,0,0
0.1772727,0.057135284,0,0
0.33704358,0.20687692,0,0
0.4738163,0.33506405,0,0
0.43592224,0.29954872,0,0
0.47090974,0.33233994,0,0
0.72143507,0.5671392,0,0
0.7254559,0.5709076,0,0
0.61010706,0.4627995,0,0
0.7374297,0.5821298,0,0
0.31592795,0.18708678,0,0
0.48925287,0.34953162,0,0
0.1819669,0.06153481,0,0
0.36523387,0.23329763,0,0
0.38453624,0.25138834,0,0
0.56539273,0.420892,0,0
0.6604076,0.5099426,0,0
0.3505029,0.21949136,0,0
0.30887085,0.18047267,0,0
1.0639862,0.88818747,1,1
0.46214032,0.32412103,0,0
0.48815522,0.34850287,0,0
0.44433612,0.3074344,0,0
0.43824568,0.3017263,0,0
0.77638143,0.6186364,0,0
0.5146284,0.3733143,0,0
0.37844628,0.24568066,0,0
0.660902,0.51040596,1,0
0.66646326,0.5156181,0,0
0.7780138,0.62016636,1,0
0.4230775,0.28751025,0,0
0.5671509,0.4225398,0,0
0.7530507,0.5967702,0,0
0.7513793,0.59520376,1,0
0.376647,0.24399433,0,0
0.41680598,0.28163242,0,0
0.11631068,0.0,0,0
0.19188835,0.07083346,0,0
0.41490468,0.27985048,0,0
0.69253916,0.5400571,0,0
0.32079417,0.19164751,0,0
0.4272228,0.29139534,0,0
0.7475998,0.59166145,0,0
0.3112095,0.18266451,0,0
0.24596882,0.121519156,0,0
0.867273,0.7038225,1,1
0.45403036,0.31652015,0,0
0.30190015,0.17393953,0,0
0.66393816,0.5132515,0,0
0.6363193,0.48736635,0,0
0.5689955,0.4242686,0,0
0.5794097,0.4340291,0,0
0.5186661,0.3770985,0,0
0.54416,0.40099213,0,0
0.42459878,0.28893605,0,0
0.75224835,0.59601825,0,0
0.33754724,0.20734896,0,0
0.81369674,0.65360934,0,0
0.32783082,0.19824247,0,0
0.9933613,0.8219959,0,1
0.608246,0.46105528,0,0
0.4950455,0.35496065,0,0
0.30435818,0.17624328,0,0
0.58789396,0.44198078,0,0
0.18942976,0.06852921,0,0
0.5199888,0.37833816,0,0
0.32146275,0.19227414,0,0
0.47639665,0.33748242,0,0
0.53429574,0.39174706,0,0
0.96164143,0.79226714,1,1
0.41911554,0.28379703,0,0
0.52222764,0.3804365,0,0
0.71043146,0.5568263,0,0
0.67571664,0.5242906,0,0
0.5915864,0.44544142,0,0
0.5296422,0.38738564,0,0
0.49082428,0.35100442,0,0
0.45691118,0.31922013,0,0
0.13050328,0.013301697,0,0
0.63089436,0.48228195,0,0
0.50211465,0.36158606,0,0
0.47785467,0.33884892,0,0
0.41933185,0.28399974,0,0
0.45729393,0.31957883,0,0
0.53121054,0.38885552,0,0
0.6105715,0.46323478,0,0
0.65203184,0.5020926,0,0
0.67009556,0.5190224,0,0
0.6229216,0.47480965,0,0
0.5096873,0.36868334,0,0
0.4213864,0.2859253,0,0
0.5326123,0.3901693,0,0
0.2691142,0.14321163,0,0
0.58329284,0.43766847,0,0
0.39666975,0.2627602,0,0
1.1195555,0.94026846,0,1
0.5332798,0.39079487,0,0
0.5170301,0.37556523,0,0
0.6849062,0.5329033,0,0
0.40776664,0.27316052,0,0
0.5864677,0.44064403,0,0
0.5367265,0.3940252,0,0
0.44466075,0.3077387,0,0
0.9952566,0.82377225,0,1
0.40909672,0.2744071,0,0
0.4366507,0.30023143,0,0
0.3674218,0.23534822,0,0
0.596362,0.44991726,0,0
0.6932707,0.54074275,1,0
0.8535447,0.69095594,0,0
0.6048845,0.4579048,0,0
0.45295006,0.31550765,0,0
0.4069851,0.27242804,0,0
0.4538278,0.31633028,0,0
1.1642116,0.98212147,1,1
0.3466919,0.2159196,0,0
0.12372961,0.006953225,0,0
0.72510517,0.5705789,0,0
0.75126505,0.59509665,0,0
0.4227778,0.2872294,0,0
0.3342362,0.20424578,0,0
0.82719505,0.66626036,0,0
0.70686805,0.5534866,1,0
0.50935537,0.36837226,0,0
0.3628515,0.23106481,0,0
0.43421298,0.29794675,0,0
0.63166606,0.48300523,0,0
0.55326986,0.4095301,0,0
0.8297054,0.66861314,0,0
0.5814377,0.4359298,0,0
0.6995777,0.54665387,1,0
0.6367119,0.48773432,0,0
0.54934853,0.40585494,0,0
0.46637994,0.3280945,0,0
0.6296965,0.48115927,0,0
